epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2210.61,1.73866,1.91888,1.96279,0.36154,0.50551,0.36799,0.12097,2.23979,2.07576,2.54807,0.000784521,0.000784521,0.000784521
43,2517.13,1.7227,1.97038,1.97825,0.38418,0.54951,0.42176,0.14889,2.14985,2.07305,2.49299,0.000768802,0.000768802,0.000768802
44,2830.64,1.74207,1.96999,1.97324,0.41711,0.49749,0.42171,0.1434,2.27558,1.95206,2.56113,0.000753083,0.000753083,0.000753083
45,3128.8,1.73939,1.92747,1.99781,0.45154,0.55586,0.48999,0.15739,2.2432,1.87032,2.59394,0.000737364,0.000737364,0.000737364
46,3472.63,1.80057,1.99353,1.9981,0.46452,0.52762,0.44949,0.14044,2.2892,1.97788,2.53293,0.000721645,0.000721645,0.000721645
47,3840.61,1.79517,2.03242,2.02428,0.4437,0.6433,0.49936,0.18045,2.19319,1.98156,2.49163,0.000705926,0.000705926,0.000705926
48,4194.46,1.76387,1.92568,1.99593,0.45295,0.52625,0.46735,0.15847,2.23637,1.97104,2.51915,0.000690207,0.000690207,0.000690207
49,4546.99,1.79144,1.94293,2.01194,0.5382,0.53988,0.51768,0.16436,2.19507,1.87732,2.48969,0.000674488,0.000674488,0.000674488
50,4849.77,1.71655,1.94021,1.96022,0.30264,0.48735,0.31972,0.09928,2.36031,2.05937,2.59032,0.000658769,0.000658769,0.000658769
51,306.862,1.62347,1.78583,1.87998,0.42102,0.55091,0.44257,0.15239,2.2374,1.89113,2.47576,0.00064305,0.00064305,0.00064305
52,1806.86,1.58715,1.73285,1.85103,0.55139,0.54868,0.54114,0.17229,2.32695,1.81827,2.66555,0.000627331,0.000627331,0.000627331
53,3339.33,1.58355,1.68071,1.86423,0.50237,0.58423,0.52718,0.16764,2.2962,1.79172,2.66516,0.000611612,0.000611612,0.000611612
54,3707.05,1.60864,1.73009,1.89016,0.45888,0.58873,0.52518,0.18562,2.25252,1.81542,2.55438,0.000595893,0.000595893,0.000595893
55,5187.33,1.62087,1.74332,1.89626,0.44364,0.6168,0.44201,0.14651,2.35453,1.83122,2.66921,0.000580174,0.000580174,0.000580174
56,5489.72,1.59483,1.68398,1.86662,0.47669,0.58076,0.53472,0.18895,2.31356,1.73239,2.57952,0.000564455,0.000564455,0.000564455
57,5810.71,1.61443,1.66193,1.87578,0.4143,0.46972,0.37219,0.12794,2.3691,2.14491,2.68269,0.000548736,0.000548736,0.000548736
58,6120.8,1.59453,1.70707,1.87725,0.40738,0.5822,0.47015,0.15894,2.20255,1.99754,2.50619,0.000533017,0.000533017,0.000533017
59,6422.04,1.61809,1.74987,1.87465,0.46863,0.56129,0.48779,0.16688,2.32764,1.85057,2.58203,0.000517298,0.000517298,0.000517298
60,6737.53,1.61223,1.71548,1.87027,0.5031,0.59819,0.44675,0.1476,2.32318,1.88488,2.63389,0.000501579,0.000501579,0.000501579
61,294.135,1.51546,1.57492,1.80165,0.51066,0.63024,0.53248,0.18373,2.28765,1.77953,2.60362,0.00048586,0.00048586,0.00048586
62,592.029,1.47664,1.53281,1.76771,0.55105,0.57112,0.54689,0.18993,2.37624,1.74069,2.61907,0.000470141,0.000470141,0.000470141
63,1444.33,1.46642,1.49503,1.76593,0.43346,0.52354,0.46603,0.15287,2.40906,1.91151,2.90049,0.000454422,0.000454422,0.000454422
64,2512.57,1.5108,1.54199,1.81188,0.6212,0.5802,0.57518,0.19017,2.39373,1.74257,2.78531,0.000438703,0.000438703,0.000438703
65,2972.04,1.52336,1.53986,1.82791,0.44281,0.56132,0.45868,0.15393,2.39365,1.83906,2.82467,0.000422984,0.000422984,0.000422984
66,3462.83,1.44921,1.49249,1.75743,0.54961,0.58153,0.5518,0.18625,2.41718,1.60866,2.75864,0.000407265,0.000407265,0.000407265
67,3928.32,1.50791,1.43762,1.77741,0.48748,0.52127,0.47571,0.15952,2.50388,1.8593,2.83663,0.000391546,0.000391546,0.000391546
68,4406.13,1.51718,1.50493,1.8199,0.4393,0.52742,0.41129,0.12693,2.54369,1.8998,2.9781,0.000375827,0.000375827,0.000375827
69,4708.04,1.52241,1.56255,1.79974,0.56413,0.49167,0.51241,0.17002,2.37484,1.85179,2.6615,0.000360108,0.000360108,0.000360108
70,5029.01,1.51376,1.52903,1.78514,0.54252,0.48452,0.51091,0.16955,2.48735,1.878,2.79751,0.000344389,0.000344389,0.000344389
71,6137.4,1.66477,1.66547,1.88964,0.5497,0.59094,0.55817,0.17148,2.39054,1.70466,2.78813,0.00032867,0.00032867,0.00032867
72,554.836,1.37359,1.38729,1.69417,0.53817,0.63556,0.52337,0.17419,2.42561,1.65804,2.7731,0.000312951,0.000312951,0.000312951
73,899.578,1.31555,1.31234,1.65659,0.62717,0.5487,0.57066,0.19329,2.50902,1.66728,2.83196,0.000297232,0.000297232,0.000297232
74,1266.24,1.35537,1.28209,1.67835,0.48646,0.53444,0.441,0.12627,2.69037,1.7611,3.2888,0.000281513,0.000281513,0.000281513
75,1638.45,1.40509,1.35053,1.73207,0.59883,0.539,0.56279,0.18967,2.46412,1.70092,2.8865,0.000265794,0.000265794,0.000265794
76,2011.56,1.38959,1.34501,1.72322,0.5995,0.57694,0.57246,0.18951,2.3992,1.74562,2.87098,0.000250075,0.000250075,0.000250075
77,2319.98,1.33717,1.3097,1.67671,0.50785,0.56442,0.4981,0.16438,2.5211,1.68751,3.01891,0.000234356,0.000234356,0.000234356
78,2594.2,1.38047,1.29549,1.69403,0.47976,0.59586,0.49413,0.15862,2.55463,1.66192,3.03879,0.000218637,0.000218637,0.000218637
79,2884.64,1.40107,1.31908,1.71354,0.54447,0.57319,0.5537,0.1831,2.52149,1.762,2.95106,0.000202918,0.000202918,0.000202918
80,301.726,1.29637,1.21041,1.62575,0.59656,0.47199,0.49559,0.1617,2.55972,1.67958,3.05158,0.000187199,0.000187199,0.000187199
81,641.974,1.86932,1.5486,2.24491,0.54828,0.56272,0.502,0.15868,2.4716,1.75109,2.92642,0.00017148,0.00017148,0.00017148
82,1100.78,1.75991,1.35378,2.11879,0.52207,0.54277,0.49392,0.1517,2.49056,1.67676,2.95033,0.000155761,0.000155761,0.000155761
83,1392.1,1.70614,1.29203,2.05918,0.48864,0.59434,0.51293,0.16062,2.39601,1.69443,2.78842,0.000140042,0.000140042,0.000140042
84,1957.64,1.68093,1.28784,2.03106,0.46991,0.54947,0.46644,0.14544,2.46676,1.75392,2.85135,0.000124323,0.000124323,0.000124323
85,2251.08,1.6526,1.25214,2.02655,0.44956,0.5459,0.44996,0.14402,2.47491,1.751,2.80758,0.000108604,0.000108604,0.000108604
86,2999.24,1.63514,1.28307,2.01171,0.45646,0.53909,0.46604,0.15463,2.45796,1.70484,2.81542,9.2885e-05,9.2885e-05,9.2885e-05
87,3285.95,1.66473,1.24611,2.02253,0.45671,0.54004,0.47317,0.15534,2.47173,1.70037,2.8527,7.7166e-05,7.7166e-05,7.7166e-05
88,3955.72,1.66964,1.23419,2.04225,0.48995,0.53295,0.49217,0.15935,2.46706,1.71585,2.83333,6.1447e-05,6.1447e-05,6.1447e-05
89,4239.68,1.62953,1.22051,1.99306,0.49271,0.54881,0.48582,0.15596,2.46097,1.72838,2.8056,4.5728e-05,4.5728e-05,4.5728e-05
90,4515.68,1.62844,1.22614,1.98591,0.47367,0.54801,0.48108,0.16479,2.449,1.69205,2.76923,3.0009e-05,3.0009e-05,3.0009e-05
